PCAS,T_V,CHEMICAL,Formula,MC_number,Log10P,PrimaryObs,P_LR,P_LR_Value,Log10U,UltimateObs,U_LR,U_LR_Value,E,S,A,B,V_McGowanVolume,logP_Soil,MolecularWeight,No. of Hydrogen Bond Donors,No. of Hydrogen Bond Acceptors,TPSA,No. of Rotatable Bonds,C Ratio,N Ratio,NO Ratio,Hetero Ratio,Halogen Ratio,Number of Rings,Number of Aromatic Rings,Number of Rings (size 3),Number of Rings (size 4),Number of Rings (size 5),Number of Rings (size 6),Dielectric Constant,Parachor,Index of Refraction,Surface Tension,Density,Polarizability,Molar Volume,Molar Refractivity,logSw,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
p0000078579,Training,78579,C6H12N5O2PS2, ,0.544068044,3.5,Days to Weeks,4,0.367355921,2.33,Weeks to Months,2,2.23,1.88,0.45,1.72,1.86,2.15,281.3,4,7,176.37,5,0.38,0.31,0.44,0.63,0,1,1,0,0,0,1,,561.34,1.68,91.1,1.55,27.28,181.7,68.8,-2.024488,1.42E-11,7.27743,140.378,322.027,165.021,3.91E-07,9.40374,0.934892,0.00085144
p0000078591,Vaildati,78591,C9H14O,24881,0.56937391,3.71,Days to Weeks,4,0.447158031,2.8,Weeks,3,0.54,0.76,0,0.45,1.24,2.12,138.21,0,1,17.07,0,0.9,0,0.1,0.1,0,1,0,0,0,0,1,,346.21,1.46,26.46,0.91,16.42,152.64,41.43,-2.47498,7.69E-11,2.01286,3.69868,216.014,-7.78827,3.70E-05,4.32297,1.70616,0.0887907
p0000078875,Training,78875,C3H6Cl2,21237,0.471291711,2.96,Weeks,3,0.369215857,2.34,Weeks to Months,2,0.38,0.47,0,0.13,0.78,1.73,112.99,0,0,0,1,0.6,0,0,0,0.4,0,0,0,0,0,0,,225.78,1.42,24.77,1.12,10.15,101.2,25.6,-2.06007,5.29E-13,7.08405,7.5986,95.4989,-99.53,0.00279293,2.98922,1.98521,0.0245097
p0000080331,Training,80331,C12H8Cl2O3S,25618,0.501059262,3.17,Weeks,3,0.328379603,2.13,Months,1,1.58,2.35,0,0.88,1.91,2.8,303.16,0,3,51.75,3,0.67,0,0.17,0.22,0.11,2,2,0,0,0,2,,551.72,1.61,50.47,1.46,28.41,207,71.68,-3.1422,3.36E-12,158.706,4.96856,352.41,86.3097,0.000305921,8.84314,4.23322,9.81E-06
p0000081049,Vaildati,81049,C10H8O6S2,29588,0.521138084,3.32,Days to Weeks,4,0.431363764,2.7,Weeks to Months,2,1.89,3.19,0.63,1.71,1.76,0.65,288.3,2,6,125.5,2,0.56,0,0.33,0.44,0,2,2,0,0,0,2,,500.08,1.7,76.48,1.7,25.77,169.1,65.01,-0.9462526,3.18E-12,2.74252,11.7144,303.833,153.263,3.94E-07,9.12363,1.83474,0.434945
p0000081776,Training,81776,C28H14N2O4,67739,0.484299839,3.05,Weeks,3,0.301029996,2,Months,1,4.53,3.92,0.18,1.8,3.04,5.69,442.42,2,6,92.34,0,0.82,0.06,0.18,0.18,0,7,4,0,0,0,7,,859.8,1.75,69.86,1.49,47.85,297.4,120.71,-6.198928,1.69E-11,36.9606,244.649,483.798,173.563,2.53E-12,9.73656,4.07811,1.85E-07
p0000083329,Training,83329,C12H10,27657,0.499687083,3.16,Weeks,3,0.342422681,2.2,Months,1,1.53,0.99,0,0.15,1.26,3.68,154.21,0,0,0,0,1,0,0,0,0,3,2,0,0,1,2,3.11,357.29,1.69,49.2,1.14,20.48,134.9,51.66,-4.64275,5.78E-11,755.891,38.9348,278.932,93.2455,0.000184171,6.32789,3.9209,3.66E-05
p0000085223,Vaildati,85223,C8H5Br5,197222,0.374748346,2.37,Weeks to Mont,2,0.158362492,1.44,Recalcitrant,0,2.14,1.48,0,0,1.87,5.7,500.65,0,0,0,1,0.62,0,0,0,0.38,1,1,0,0,0,1,,536.35,1.65,48.56,2.46,29.44,203.17,74.25,-7.94517,1.62E-12,335.351,11.3238,341.125,138.398,0.000870523,8.82765,5.61863,5.93E-10
p0000086293,Training,86293,C14H11N,20884,0.527629901,3.37,Days to Weeks,4,0.361727836,2.3,Weeks to Months,2,1.34,1.64,0,0.41,1.62,3.31,193.24,0,1,23.79,3,0.93,0.07,0.07,0.07,0,2,2,0,0,0,2,,465.07,1.58,45.09,1.08,23.83,179.47,60.12,-4.28428,6.98E-12,210.704,5.9755,315.781,74.1749,8.49E-05,7.43466,2.99987,0.00111939
p0000086306,Vaildati,86306,C12H10N2O,20585,0.555094449,3.59,Days to Weeks,4,0.383815366,2.42,Weeks to Months,2,1.55,2.08,0,0.47,1.54,2.93,198.22,0,3,32.67,3,0.8,0.13,0.2,0.2,0,2,2,0,0,0,2,,467.62,1.58,44.03,1.09,24.03,181.53,60.61,-3.58264,2.09E-12,21.4659,5.73505,312.415,66.5849,9.19E-07,5.96344,3.12968,0.000177316
