PCAS,HF3ndOPT,Gibbs,Enthalpy,Entropy,Polarizability,LUMO,HOMO,HLG,NLUMO,NHOMO,excSinglet_eV,TotEnergyTD,Oscillator_strength,Re,Volume,Density,ESPI,ESPA,TA,PA,N_A,ESPTA,ESPPA,ESPNA,Tvariance,Pvariance,Nvariance,BOC,POS,Pi,MPI,NSA,PSA,FBOmax,FBOmin,FBOmin5,QCPositivemax,QCNegativemax,QCNegativemin,QHPositivemax,LccMax,LccMin,LccAver,DNmax,DNmin,DEmax,DEmin,DN0max,DN0min,DE0max,DE0min,TDN,TDE,TDN0,TDE0,FwLUMOmax,FwHOMOmax,FwRadicalmax,FwDualmax,FwLUMOmin,FwHOMOmin,FwRadicalmin,FwDualmin,TotalFwLUMO,TotalFwHOMO,FEDLUMOmax,FEDHOMOmax,FEDLUMOmin,FEDHOMOmin,TotalFEDLUMO,TotalFEDHOMO,LUMO_delocalization_index,HOMO_delocalization_index,FLUMOmax,FHOMOmax,FRadicalmax,FDualmax,FLUMOmin,FHOMOmin,FRadicalmin,FDualmin,ConElectrophilicitymax,ConElectrophilicitymin,ConNucleophilicitymax,ConNucleophilicitymin,VerticalIP,VerticalEA,Electronegativity,Hardness,Softness,Electrophilicity,Nucleophilicity
p0000096231,-1113.471146,-1113.4131,-1113.371592,87.361,71.24,-0.0165,-0.35411,0.33761,0.00043,-0.36541,6.7811,-1113.221945,0.0086,1269.7768,966.41658,1.4956,-30.87815,50.03698,535.87093,245.79854,290.07239,0.0052022,0.03287522,-0.01824707,0.00044352,0.00030995,0.00013357,0.21045972,0.00009334,0.02562445,0.67911062,51.38,98.68,1.24661427,0.07737418,0.787009,0.038655075,-0.139134278,-0.139134285,0.321193342,2.472553,1.526252,1.841686,-10.10046,-27.79853,-2.02388,-25.02667,-17.24432,-45.97946,-1.41314,-16.09134,-203.30264,-112.97108,-344.25184,-75.58585,0.11665,0.33938,0.21919,0.10819,0.01605,0.00702,0.03019,-0.2404,0.901319,0.999956,18.235,29.102,1.213,0.614,93.251569,99.996087,12.73,20.61,0,0.2447,0.1223,-0.0325,0,0.0325,0.0162,-0.2447,0,0,-0.0167,-0.12589,10.6363,0,5.3181,10.6363,0.094,1.3295,-0.5145
p0000098066,-389.3682509,-389.188667,-389.143814,94.401,118.69,-0.00499,-0.29451,0.28952,0.00553,-0.30388,5.4614,-389.1675495,0.0014,1595.1086,1406.92418,1.069,-18.71185,16.51025,692.00585,432.99994,259.00591,0.00157372,0.00955848,-0.011775,0.00012951,0.00003794,0.00009157,0.20713631,0.00002683,0.01010777,0.28267418,148.33,45.45,1.47818459,0.06480027,0.84225325,0.019053405,-0.124628591,-0.264153865,0.126661769,3.044358,1.391154,2.216594,-10.71192,-23.88414,-2.66174,-12.17737,-15.69587,-44.27879,-1.90346,-8.4191,-386.02618,-155.69283,-616.62522,-110.06628,0.06004,0.14589,0.09108,0.04867,0.00439,0.00147,0.01354,-0.12073,0.861966,0.999977,7.038,23.925,0.311,0.016,89.460836,99.997881,4.94,14.91,0,0.1527,0.0764,-0.0056,0,0.0056,0.0028,-0.1527,0,0,0.16911,0.00625,8.8276,0,4.4138,8.8276,0.1133,1.1034,1.1072
p0000098828,-350.0692224,-349.917467,-349.874284,90.886,106.95,-0.00415,-0.29474,0.29059,0.00562,-0.30464,5.4517,-349.8688747,0.0022,1341.8638,1265.9155,1.0639,-18.57157,16.27363,649.8883,397.73027,252.15803,0.00134519,0.00987951,-0.01211605,0.00012677,0.00003883,0.00008794,0.21247342,0.00002694,0.01051073,0.29244864,135.29,46.7,1.4725968,0.07332543,0.81767798,-0.017798145,-0.059017898,-0.262684059,0.126627842,3.112426,1.392836,2.187601,-10.671,-23.89373,-2.65825,-12.14996,-15.64955,-44.3713,-1.90158,-8.40603,-344.73251,-138.74406,-559.95002,-97.89638,0.06306,0.1505,0.09444,0.05151,0.00957,0.003,0.01907,-0.12202,0.863924,0.999937,8.491,24.379,0.88,0.185,88.675042,99.994005,5.73,15,0,0.1548,0.0774,-0.0113,0,0.0113,0.0056,-0.1548,0,0,0.17046,0.01239,8.8647,0,4.4323,8.8647,0.1128,1.1081,1.1009
p0000098975,-452.7979924,-452.736642,-452.69731,82.782,76.69,-0.06007,-0.34306,0.28299,-0.03785,-0.35621,3.8785,-452.6554587,0.0029,1413.826,942.81556,1.475,-36.68563,40.71594,524.95845,342.29334,182.66511,0.00502375,0.02315558,-0.02895321,0.00044986,0.00019129,0.00025857,0.24440905,0.00010995,0.02387669,0.68499019,45.77,101.24,2.01932394,0.05272379,0.77621287,0.257610955,#NAME?,-0.019420989,0.260984271,2.673594,1.396506,2.085273,-8.8851,-23.76485,-2.17186,-21.52748,-6.60108,-24.82401,-1.37028,-12.0674,-230.67665,-139.65121,-198.71125,-83.06695,0.12225,0.17372,0.13811,0.04281,0.01977,0.00745,0.02044,-0.12859,0.960058,0.999977,19.677,28.672,0.381,0.932,99.846776,99.998839,13.36,14.77,0.1246,0.1752,0.1494,0.0454,0.0292,0.0291,0.0291,-0.0515,0.19452,0.04555,-0.00622,-0.03748,10.3505,0.6536,5.502,9.6969,0.1031,1.5609,-0.2139
p0000099309,-1411.185793,-1411.122384,-1411.072433,105.13,129.33,-0.05863,-0.29584,0.23721,-0.02189,-0.33118,4.009,-1411.038464,0,2873.4878,1382.87501,1.6775,-32.65783,48.15411,709.2554,515.94526,193.31013,0.00526641,0.01619059,-0.02389026,0.00052566,0.00024591,0.00027974,0.24896445,0.00013087,0.01662363,0.49767337,112.27,86.34,1.8633191,0.06872706,0.80051826,0.072353287,-0.120984623,-0.120984623,0.309260594,2.8025,1.381672,2.082792,-10.05467,-29.87037,-2.17323,-23.2219,6.10009,-42.9301,-1.45138,-14.80495,-315.19237,-186.47135,-252.43711,-119.18849,0.09581,0.1459,0.08963,0.07525,0.03215,0.00488,0.01852,-0.11255,0.952596,0.999993,20.846,22.685,0.435,0.178,99.95201,100.000282,12.93,12.36,0.1742,0.145,0.1174,0.1135,0.0213,0.014,0.0298,-0.0954,0.25175,0.03081,0.15527,0.01501,8.8485,0.7988,4.8237,8.0497,0.1242,1.4453,1.0709
p0000099661,-464.8093661,-464.61507,-464.562697,110.228,105.39,-0.01502,-0.34488,0.32986,-0.00352,-0.3809,5.4607,-464.6086906,0.0011,7606.3966,1446.01671,1.1176,-40.62085,55.98324,739.3354,569.58922,169.74618,0.00477409,0.01571712,-0.03194562,0.00061198,0.00018481,0.00042716,0.2107942,0.000129,0.01731643,0.52907274,115.38,91.65,2.03377528,0.05117728,0.80796228,0.230555854,-0.035691922,-0.257754921,0.278242974,3.087157,1.52284,2.216526,-9.94695,-23.52585,-1.79936,-18.30383,-14.63471,-36.22361,-1.33201,-12.37935,-382.041,-164.66392,-573.90658,-116.08136,0.0954,0.29544,0.15583,0.08908,0.00754,0.00631,0.01644,-0.27921,0.878258,0.999984,25.062,52.936,0.092,0.008,91.865327,99.997966,11.85,31.66,0.1566,0.354,0.1925,0.1017,0.0049,0.0012,0.0051,-0.323,0.1765,0.00556,-0.00031,-0.09324,10.1629,-0.4016,4.8807,10.5645,0.0947,1.1274,-0.2634
p0000100425,-309.5478571,-309.44475,-309.406002,81.553,98.35,-0.01583,-0.28053,0.2647,-0.0028,-0.31068,4.9999,-309.3641126,0.1936,1510.1525,1063.7835,1.0971,-16.41687,19.67554,567.14293,304.97547,262.16747,0.00091456,0.01381148,-0.01408824,0.00011711,0.00005748,0.00005962,0.24991656,0.00002927,0.01388444,0.37931081,90.74,68.08,1.89956186,0.05645719,0.85704558,-0.017081419,-0.117538842,-0.24015821,0.130025981,3.038015,1.336589,2.125761,-11.20335,-25.80033,-2.69358,-12.99461,76.27379,-18.58932,-1.87738,-8.59417,-282.30518,-120.47557,125.1427,-81.36462,0.07308,0.15474,0.11391,0.0567,0.0429,0.00777,0.02629,-0.08166,0.883248,0.999931,18.894,21.802,0.556,0.317,99.718738,99.992921,10.77,13.15,0,0.1649,0.0825,-0.0307,0,0.0307,0.0153,-0.1649,0,0,0.24534,0.04563,8.5326,0,4.2663,8.5326,0.1172,1.0666,1.4877
p0000101213,-1053.533095,-1053.367781,-1053.310769,119.992,154.65,-0.01191,-0.2772,0.26529,0.00012,-0.29865,5.0854,-1053.346211,0.0275,19532.865,1763.58364,1.3576,-22.80218,55.29139,897.24135,487.02419,410.21716,0.00088653,0.01647689,-0.01762289,0.00024374,0.0001659,0.00007784,0.21736503,0.00005298,0.01693237,0.46261634,122.28,128.97,1.75175013,0.0509851,0.78589752,0.246446402,-0.125515141,-0.271992677,0.202445058,3.084992,1.389541,2.162238,-10.70735,-29.93937,-1.63307,-23.01825,-15.50885,-49.0642,-1.26421,-16.20556,-457.8583,-205.37221,-766.17504,-148.45546,0.09087,0.12351,0.07847,0.08875,0.00786,0.00024,0.00697,-0.11057,0.888017,0.999982,29.705,19.227,0.228,0.006,91.30545,99.997975,12.5,11.75,0.1285,0.1219,0.0793,0.0984,-4.00E-04,-0.0033,0.005,-0.1073,0.11191,-0.00034,0.19239,-0.00516,8.2822,-0.4726,3.9048,8.7548,0.1142,0.8708,1.5782
p0000101279,-1549.972025,-1549.838898,-1549.773768,137.076,177.56,-0.01409,-0.28911,0.27502,-0.00339,-0.31259,5.0618,-1549.786009,0.03,12166.2449,1969.38935,1.4686,-31.78929,49.84348,1022.69462,462.28295,560.41167,0.00150004,0.02107685,-0.01464885,0.00033133,0.000224,0.00010732,0.21899794,0.00007256,0.01773215,0.47768131,156.2,130.19,2.59921528,0.05185527,0.79561678,0.297654674,-0.088870615,-0.159746474,0.228564782,3.042561,1.209193,2.148991,-10.74722,-30.20697,-1.88157,-23.44105,-18.48137,-66.99891,-1.3999,-16.12279,-487.41663,-231.54098,-997.10858,-163.17894,0.06085,0.10707,0.07003,0.05668,0.01246,0.00304,0.01418,-0.07409,0.900211,0.999956,18.719,19.791,0.416,0.006,89.274369,99.994765,8.48,12.06,0.1567,0.1254,0.0974,0.1186,0.0061,-0.011,0.0063,-0.1094,0.14406,0.00564,0.15726,-0.01385,8.6226,-0.4525,4.085,9.0751,0.1102,0.9194,1.254
p0000101428,-534.7529422,-534.590136,-534.539369,106.849,133.54,-0.01389,-0.2619,0.24801,0.00331,-0.29451,5.1039,-534.5653788,0.101,8562.8637,1498.83722,1.2277,-32.25056,54.13134,770.48628,408.0549,362.43138,-0.00075712,0.0180485,-0.02193002,0.00039829,0.00021927,0.00017901,0.24744553,0.00009855,0.01992647,0.54080822,102.03,113.73,1.75667614,0.05303435,0.83270965,0.294930425,-0.092411402,-0.180324377,0.346525827,2.996999,1.392257,2.19249,-11.24441,-25.60993,-1.68855,-15.8271,-15.6159,-38.4311,-1.33572,-11.24828,-418.65101,-170.75371,-625.96265,-127.45035,0.0833,0.14326,0.07686,0.08012,0.0088,0.00119,0.01801,-0.1328,0.874632,0.999932,25.002,18.011,0.13,0.075,91.906954,99.99234,12.64,11.4,0.1658,0.1194,0.0971,0.1374,-0.0029,0.0102,0.0191,-0.1028,0.13797,-0.00238,0.2382,0.0204,7.8781,-0.4377,3.7202,8.3158,0.1203,0.8322,1.9947
