PCAS,HF3ndOPT,Gibbs,Enthalpy,Entropy,Polarizability,LUMO,HOMO,HLG,NLUMO,NHOMO,excSinglet_eV,TotEnergyTD,Oscillator_strength,Re,Volume,Density,ESPI,ESPA,TA,PA,N_A,ESPTA,ESPPA,ESPNA,Tvariance,Pvariance,Nvariance,BOC,POS,Pi,MPI,NSA,PSA,FBOmax,FBOmin,FBOmin5,QCPositivemax,QCNegativemax,QCNegativemin,QHPositivemax,LccMax,LccMin,LccAver,DNmax,DNmin,DEmax,DEmin,DN0max,DN0min,DE0max,DE0min,TDN,TDE,TDN0,TDE0,FwLUMOmax,FwHOMOmax,FwRadicalmax,FwDualmax,FwLUMOmin,FwHOMOmin,FwRadicalmin,FwDualmin,TotalFwLUMO,TotalFwHOMO,FEDLUMOmax,FEDHOMOmax,FEDLUMOmin,FEDHOMOmin,TotalFEDLUMO,TotalFEDHOMO,LUMO_delocalization_index,HOMO_delocalization_index,FLUMOmax,FHOMOmax,FRadicalmax,FDualmax,FLUMOmin,FHOMOmin,FRadicalmin,FDualmin,ConElectrophilicitymax,ConElectrophilicitymin,ConNucleophilicitymax,ConNucleophilicitymin,VerticalIP,VerticalEA,Electronegativity,Hardness,Softness,Electrophilicity,Nucleophilicity
p0000101804,-649.0604603,-648.8829,-648.827339,116.937,168.81,-0.0085,-0.2381,0.2296,-0.00587,-0.26145,4.3762,-648.8996387,0.0481,6568.765,1757.88593,1.2764,-28.41888,35.36857,879.93143,405.82191,474.10952,-0.00101044,0.02050982,-0.01943106,0.00032658,0.00020766,0.00011892,0.23153871,0.00007561,0.01986319,0.54228423,106.35,140.06,1.47601877,0.07440136,0.83017507,0.097253625,-0.020959101,-0.393687264,0.304636791,3.18859,1.391004,2.17231,-11.80699,-25.24495,-2.04855,-15.09503,-17.74009,-43.50359,-1.58933,-11.41571,-502.01969,-203.82451,-786.00798,-152.94388,0.05846,0.08769,0.05142,0.05018,0.00679,0.00352,0.01631,-0.07255,0.877601,0.99997,12.849,10.569,0.159,0.246,88.411499,99.996682,7.29,6.72,0.0936,0.0763,0.0625,0.0622,0.0049,0.0169,0.0188,-0.0714,0.06711,0.00354,0.20169,0.04463,7.176,-0.5288,3.3236,7.7048,0.1298,0.7168,2.6421
p0000101848,-538.3658541,-538.216958,-538.168839,101.274,144.17,-0.0056,-0.27599,0.27039,0.00217,-0.30923,5.0553,-538.1800759,0.0212,2738.5939,1536.70714,1.2412,-21.2988,17.69473,776.57484,389.4747,387.10014,0.00014156,0.01353312,-0.01333214,0.00011241,0.00005266,0.00005975,0.2490041,0.00002799,0.01343276,0.36552876,131.72,85.74,1.46551915,0.07287636,0.83090136,0.035564123,-0.049318379,-0.301943485,0.211592055,3.142816,1.392943,2.170022,-11.84317,-24.4245,-2.55406,-15.24762,-19.74738,-51.35944,-1.85386,-10.95366,-427.61782,-179.04826,-813.03435,-126.96113,0.05334,0.09165,0.05928,0.04825,0.0101,0.0049,0.02079,-0.08155,0.875766,0.999946,9.241,15.612,0.595,0.234,88.232304,99.994124,5.48,8.69,0,0.1079,0.0539,-0.0213,0,0.0213,0.0107,-0.1079,0,0,0.17378,0.03435,8.2366,0,4.1183,8.2366,0.1214,1.0296,1.6111
p0000103297,-541.7626245,-541.56356,-541.510864,110.907,165,-0.00615,-0.29092,0.28477,0.00123,-0.30442,5.4311,-541.5630368,0.0027,7820.9001,1788.00558,1.1423,-17.61069,16.98643,884.39905,496.54368,387.85537,0.00131568,0.0128352,-0.01343196,0.00011565,0.00004606,0.00006959,0.23964382,0.00002771,0.01296702,0.3563851,155.4,92.26,1.46509711,0.08959166,0.83517373,-0.087537745,-0.087537745,-0.136306342,0.127133096,2.811338,1.394216,2.108186,-11.01344,-23.91507,-2.65071,-12.09302,-16.93832,-45.9974,-1.89062,-8.34553,-493.21246,-203.95804,-876.94012,-142.36128,0.04492,0.07808,0.05341,0.03896,0.01121,0.00427,0.01515,-0.0561,0.870318,0.999956,7.316,11.825,0.797,0.293,87.349977,99.995845,4.69,7.5,0.06,0.0847,0.0528,0.0307,0.0035,0.021,0.0139,-0.0639,0.05369,0.00309,0.10204,0.02529,8.6549,-0.5394,4.0578,9.1943,0.1088,0.8954,1.2048
p0000103311,-556.5867196,-556.420396,-556.36992,106.236,178.97,-0.04731,-0.27497,0.22766,-0.00836,-0.31844,4.2337,-556.4311321,0.8606,7969.4647,1683.94809,1.206,-37.2194,26.37242,845.999,451.33541,394.66359,0.00245131,0.01767501,-0.01495845,0.00025411,0.00010291,0.0001512,0.24097014,0.00006123,0.01633187,0.44647669,132.34,104.57,1.75165057,0.05005151,0.8355568,0.004504326,-0.002912327,-0.124850837,0.132848473,3.040139,1.342577,2.143346,-10.79788,-23.87266,-2.74633,-17.84687,-16.19967,-48.41811,-1.83459,-10.82467,-448.51313,-210.9063,-757.83341,-135.59509,0.05482,0.11134,0.07301,0.036,0.02167,0.00447,0.01367,-0.07666,0.910242,0.999957,14.624,16.875,0.225,0.067,99.905402,99.995694,7.69,9.16,0.0826,0.1004,0.0855,0.0252,0.0217,0.0124,0.0212,-0.0299,0.1045,0.02741,0.16457,0.02027,8.1852,0.5849,4.385,7.6003,0.1316,1.265,1.6388
p0000103333,-572.6042735,-572.450735,-572.400614,105.49,176.16,-0.05614,-0.28479,0.22865,-0.00376,-0.30179,2.5214,-572.5116141,0,7436.4253,1645.31312,1.2411,-17.09327,18.87053,834.98898,389.94298,445.046,-0.00068035,0.01429127,-0.01379828,0.00010188,0.00005894,0.00004293,0.24382855,0.00002484,0.0139905,0.38173515,133.44,100.38,1.97424408,0.07701639,0.82844726,0.032029705,-0.112372011,-0.123219402,0.133609883,2.801869,1.389519,2.083279,-10.89896,-22.95835,-2.86368,-16.7626,-17.67814,-45.80752,-1.85203,-9.91408,-426.70173,-220.70528,-715.46608,-135.71962,0.08264,0.11195,0.0973,0.03258,0.02476,0.00452,0.01592,-0.03808,0.921983,0.999942,19.659,11.347,0.188,0.239,99.946349,99.992251,10.6,7.72,0.1203,0.0889,0.0778,0.0851,0.0154,0.0234,0.0247,-0.0392,0.17216,0.02207,0.12196,0.03203,8.4529,0.8673,4.6601,7.5855,0.1318,1.4315,1.3717
p0000104154,-895.2194489,-895.113876,-895.064856,103.17,113.03,-0.02502,-0.32763,0.30261,-0.0134,-0.33629,5.3545,-895.022675,0.0035,10979.33,1324.10194,1.4573,-34.54731,54.55332,689.74126,408.5863,281.15496,0.00336872,0.02322387,-0.02548563,0.00052514,0.00020323,0.00032191,0.237233,0.00012458,0.02364887,0.65704107,62.2,130.94,2.14070555,0.05182416,0.82208282,0.065650613,-0.108997019,-0.399626322,0.352087329,2.795712,1.389198,2.098828,-9.97037,-28.74031,-1.86092,-19.38034,-16.48492,-137.09856,-1.28806,-12.14191,-323.95324,-175.28241,-892.75728,-113.08234,0.07612,0.13071,0.09553,0.07391,0.01414,0.0022,0.02301,-0.07727,0.91831,1.000007,17.963,22.141,0.318,0.197,99.581127,100.001239,10.4,13.48,0.0976,0.123,0.1103,0.0384,0.0271,0.0223,0.0256,-0.04,0.11239,0.03117,0.02533,0.00458,9.7334,-0.1784,4.7775,9.9119,0.1009,1.1514,0.206
p0000106241,-466.9270353,-466.709236,-466.651267,122.008,132.94,-0.00849,-0.28587,0.27738,-0.00083,-0.30595,5.743,-466.7159842,0.0064,7861.0162,1654.96353,1.0444,-34.83782,35.86633,845.50136,622.74004,222.76132,0.0037787,0.01103998,-0.01652058,0.00031174,0.00006215,0.00024959,0.15961471,0.00004976,0.01107266,0.33970524,178.35,58.41,1.78465277,0.05017488,0.82994079,0.173450218,-0.035310724,-0.258173542,0.321309397,3.125393,1.339285,2.171251,-10.64815,-24.66604,-2.01091,-16.68095,-15.32285,-37.27186,-1.51463,-12.21679,-454.12678,-175.17599,-655.45391,-129.37744,0.06467,0.18074,0.09949,0.05829,0.01071,0.00266,0.01174,-0.1625,0.87096,0.999962,12.367,25.162,1.043,0.202,91.829138,99.996588,5.15,13.72,0.0624,0.13,0.0704,0.0505,0.0022,0.0119,0.0131,-0.1191,0.05566,0.00198,0.17447,0.016,8.5848,-0.525,4.0299,9.1097,0.1098,0.8914,1.3424
p0000106887,-232.3453815,-232.259431,-232.224188,74.175,53.03,-0.00107,-0.34462,0.34355,0.00906,-0.35857,7.3785,-232.0742258,0.0115,1764.0194,753.88672,1.0718,-31.95569,16.56866,444.88619,319.41829,125.4679,0.00238669,0.01178655,-0.02154365,0.00037004,0.00004004,0.00032999,0.09650509,0.00003571,0.01362222,0.39560648,81.47,43.11,1.22874914,0.05055991,0.83732235,-0.031377643,-0.031377643,-0.26047075,0.122611831,2.604177,1.469819,1.922227,-10.80293,-24.46595,-2.47631,-16.40991,-14.92977,-33.14316,-1.86985,-12.10074,-203.02713,-78.09634,-277.94622,-58.94586,0.10876,0.42358,0.22193,0.08022,0.02029,0.00995,0.03754,-0.4033,0.862084,0.999963,19.474,60.564,1.117,0.24,89.405072,99.995943,10.66,39.06,0.1165,0.3758,0.199,0.0711,0.0171,0.0145,0.0259,-0.3535,0.12105,0.01773,-0.00372,-0.09632,10.2717,-0.7139,4.7789,10.9856,0.091,1.0394,-0.2563
p0000107131,-170.7816852,-170.756444,-170.725432,65.27,41.74,-0.03116,-0.35411,0.32295,-0.00888,-0.40816,6.1385,-170.5560978,0.0001,304.4351,558.11095,1.0654,-36.21558,31.42184,358.1307,230.53623,127.59446,0.00421834,0.02429902,-0.03206321,0.00043145,0.0001847,0.00024676,0.24482817,0.00010563,0.02606763,0.73648263,27.07,73.22,2.83209026,0.05467757,0.85441484,0.113461207,-0.206370029,-0.206370029,0.1645033,2.427662,1.334912,1.733947,-10.99505,-25.61462,-2.63701,-18.30917,8.01287,-23.65061,-1.68358,-10.67862,-128.75682,-63.00952,-80.85586,-38.42353,0.22333,0.28231,0.2486,0.11223,0.0939,0.02078,0.06353,-0.18841,0.92855,0.999954,34.294,31.396,3.721,1.936,99.710347,99.995174,21.73,23.94,0,0.2524,0.1262,-0.0692,0,0.0692,0.0346,-0.2524,0,0,-0.03559,-0.12987,10.9242,0,5.4621,10.9242,0.0915,1.3655,-0.5146
p0000107197,-191.8109589,-191.776135,-191.743671,68.327,40.47,-0.00541,-0.33802,0.33261,0.01059,-0.3492,5.7971,-191.5979197,0.0001,331.5552,571.96304,1.0984,-29.16985,41.72986,365.03589,187.91292,177.12297,0.00230931,0.02236819,-0.01897152,0.0003596,0.00021333,0.00014627,0.24130538,0.00008677,0.02070719,0.56382137,40.94,61.28,2.75959656,0.05088699,0.8311185,0.125036889,-0.727571706,-0.727571706,0.483852856,2.680062,1.209071,1.786818,-10.39865,-27.41741,-1.96609,-16.54621,-17.82502,-45.69951,-1.4377,-11.71201,-139.31293,-62.02558,-220.96194,-43.38693,0.16661,0.37875,0.25156,0.15476,0.03873,0.01185,0.06245,-0.2563,0.865807,0.999958,28.06,40.371,5.82,0.801,88.550883,99.993109,16.26,28.3,0,0.3061,0.1531,-0.0455,0,0.0455,0.0227,-0.3061,0,0,-0.00349,-0.02349,10.5725,0,5.2862,10.5725,0.0946,1.3216,-0.0767
p0000110758,-691.9406596,-691.868887,-691.827386,87.347,72.25,-0.00363,-0.29566,0.29203,0.00595,-0.36829,5.8797,-691.7245835,0.0399,5433.6353,937.40641,1.2737,-17.87664,23.93414,542.27038,296.05188,246.21849,0.0037274,0.01774282,-0.01312468,0.00013067,0.00008571,0.00004496,0.22568553,0.00002949,0.01549623,0.42574788,75.56,76.29,1.89306273,0.05446059,0.82960045,-0.029998048,-0.029998048,-0.299174254,0.132192001,2.343534,1.330859,1.729667,-11.72813,-29.88619,-2.32887,-21.6258,-17.15086,-43.00736,-1.7872,-16.03229,-229.33986,-94.35671,-338.13446,-71.00491,0.1123,0.34022,0.1995,0.08251,0.01437,0.00433,0.02535,-0.28144,0.876784,0.999889,12.713,38.864,1.707,0.068,89.666802,99.98792,9.16,26.25,0.1331,0.2584,0.1596,0.0607,0.0074,0.0023,0.0097,-0.1975,0.11919,0.00659,0.27797,0.00251,9.0743,-0.7038,4.1852,9.778,0.1023,0.8957,1.0759
p0000111557,-535.4468693,-535.32371,-535.272097,108.628,86.33,-0.00804,-0.35353,0.34549,0.00396,-0.35991,5.6583,-535.2389319,0.0014,8328.2118,1231.48735,1.3298,-32.37992,20.07865,682.82977,454.40718,228.42259,0.00231975,0.01617915,-0.02525114,0.00027947,0.00004443,0.00023504,0.13370174,0.00003737,0.01848876,0.522838,82.32,108.89,2.00695383,0.05353641,0.80955073,0.293379726,-0.061261348,-0.288257355,0.126104627,3.067295,1.502586,2.19612,-10.62828,-24.10643,-2.53192,-18.07935,-15.85965,-37.2017,-1.79755,-12.18214,-311.4953,-151.69361,-478.07849,-106.80662,0.07796,0.23943,0.1317,0.07232,0.01217,0.00302,0.02873,-0.21552,0.881256,0.99998,16.137,26.207,1.308,0.291,91.289414,99.997159,8.94,16.16,0.0931,0.1851,0.1035,0.0617,0.0032,0.0209,0.0166,-0.1632,0.10218,0.00351,-0.01041,-0.09232,10.4139,-0.5867,4.9136,11.0006,0.0909,1.0974,-0.4989
p0000112312,-468.1601509,-467.919519,-467.860975,123.215,130.43,-0.00661,-0.32579,0.31918,-0.00119,-0.35916,4.0148,-468.0126081,0.0002,20473.6051,1719.92605,1.0181,-34.98646,19.9169,901.02117,681.96924,219.05193,0.00424442,0.01097764,-0.01671797,0.00041963,0.00005539,0.00036424,0.1145751,0.00004808,0.01069943,0.33669202,190.57,61.74,2.15816366,0.05123283,0.8345735,0.129429887,-0.150325506,-0.261088103,0.104355546,2.547413,1.505601,2.003095,-10.29982,-25.07423,-2.68589,-18.05254,-15.46544,-54.50227,-1.86859,-12.07662,-449.27738,-191.96892,-692.31421,-132.06977,0.06275,0.26229,0.14716,0.04133,0.00846,0.00617,0.01771,-0.23026,0.877782,1.000005,12.584,49.182,0.35,0.011,90.604353,99.999863,6.74,29.12,0.0776,0.2679,0.1436,0.0362,0.0053,0.0085,0.01,-0.2485,0.08039,0.0055,0.06854,0.00217,9.7606,-0.528,4.6163,10.2886,0.0972,1.0356,0.2559
p0000112629,-895.847381,-895.390368,-895.296737,197.064,249.91,-0.00638,-0.29495,0.28857,-0.0037,-0.34918,6.0307,-895.6257583,0.0225,115341.6075,3148.55776,1.0552,-35.62882,18.22395,1565.29957,1123.97766,441.32191,0.00262077,0.00844414,-0.01221045,0.000239,0.00002689,0.00021211,0.09986529,0.00002387,0.00857032,0.25867189,376.53,61.8,2.00065416,0.05123104,0.82804659,0.292847596,-0.099147708,-0.260996285,0.128893185,3.10312,1.337239,2.078926,-10.52816,-24.63256,-2.37379,-16.87961,-15.00203,-36.88153,-1.81074,-12.34235,-867.9224,-334.12422,-1215.49052,-248.65789,0.03339,0.18515,0.09744,0.0327,0.00488,0.00069,0.00785,-0.17542,0.87261,0.999984,4.814,31.958,0.175,0,91.106881,99.998164,2.72,21.43,0,0.1849,0.0925,4.00E-04,0,-4.00E-04,-2.00E-04,-0.1849,0,0,0.20253,-0.00046,8.7755,0,4.3877,8.7755,0.114,1.0969,1.0953
p0000112958,-787.1325875,-786.610652,-786.517168,196.754,259.7,-0.00408,-0.33498,0.3309,-0.00353,-0.35254,7.316,-786.8637289,0,126395.3959,3287.85452,0.963,-4.36561,8.22724,1634.18086,1198.17338,436.00748,0.0030287,0.00548915,-0.00373277,0.00001427,0.00001005,0.00000422,0.20832066,0.00000297,0.00415221,0.13661582,457.62,0,1.17846976,0.05122733,0.84992337,-0.154832182,-0.154832182,-0.261052191,0.092578832,2.547908,1.525553,2.022648,-10.87039,-23.9227,-2.69796,-11.1018,-15.49911,-31.89729,-1.99112,-8.28556,-904.57165,-338.34718,-1243.88489,-250.07998,0.02399,0.03766,0.02114,0.01829,0.00459,0.00407,0.01171,-0.03305,0.811681,0.999993,3.379,7.414,0.351,0.06,91.969289,99.999636,2.24,5.13,0.0372,0.0297,0.0264,0.0216,0.0032,0.0076,0.0083,-0.0265,0.03875,0.00333,0.00017,4.00E-05,9.6467,-0.4681,4.5893,10.1148,0.0989,1.0411,0.0058
p0000115775,-498.5138795,-498.365621,-498.319288,97.514,79.81,-0.0125,-0.33279,0.32029,-0.00363,-0.3415,6.7509,-498.2657867,0.0006,1239.1564,1149.5086,1.3272,-34.96923,48.74997,587.52146,350.36559,237.15587,0.00275956,0.01997835,-0.02267886,0.00062164,0.00030949,0.00031214,0.24999544,0.00015541,0.0206606,0.573301,83.31,81.22,1.31122234,0.05292748,0.80636315,-0.043904642,-0.043904642,-0.051011002,0.308771772,2.521471,1.526439,2.1137,-8.89601,-22.21177,-1.83165,-17.2278,-12.36546,-30.24682,-1.39572,-12.36021,-304.14064,-146.28081,-424.5563,-107.62431,0.13947,0.18138,0.09661,0.13277,0.00275,0.00671,0.02749,-0.16953,0.88368,0.999958,24.781,28.106,0.294,0.09,92.336888,99.996429,14.52,18.87,0,0.1961,0.098,-0.0083,0,0.0083,0.0042,-0.1961,0,0,0.01286,0.00055,9.938,0,4.969,9.938,0.1006,1.2423,0.0656
p0000116290,-2850.051149,-2849.944898,-2849.879208,138.257,225.4,-0.05265,-0.32186,0.26921,-0.0352,-0.33037,4.8842,-2849.871657,0.0388,15067.8707,2324.08136,1.7168,-32.33881,31.23115,1092.3078,728.06133,364.24647,0.00451346,0.0147838,-0.01601506,0.00042955,0.0001357,0.00029385,0.21611539,0.00009283,0.0143115,0.41346005,194.74,111.14,2.10387289,0.06355765,0.78416671,0.983801563,-0.073532606,-1.424737812,0.78857244,2.842566,1.390155,2.104241,-10.60993,-30.20152,-2.57809,-25.12932,27.34303,-48.6026,-1.66864,-15.07384,-519.31427,-313.1666,-323.9723,-192.62685,0.05857,0.08081,0.06174,0.02592,0.01069,0.00349,0.01044,-0.03814,0.956885,0.999963,12.266,13.862,0.338,0.055,99.918559,99.994241,6.81,8.78,0.1004,0.1442,0.1077,0.0432,0.0143,0.0083,0.0117,-0.073,0.15195,0.02167,0.05236,0.003,9.4371,0.7919,5.1145,8.6453,0.1157,1.5129,0.3631
p0000119982,-1167.367634,-1166.778331,-1166.678252,210.634,324.98,-0.00878,-0.2516,0.24282,-0.00458,-0.29953,4.6637,-1167.196245,0.0683,106587.294,3917.34343,1.1117,-26.81975,47.77439,1797.61761,1178.72699,618.89063,0.00200745,0.00873142,-0.01079889,0.00020115,0.00007812,0.00012303,0.23754093,0.00004778,0.00900164,0.25696291,417.57,85.82,1.47622799,0.05223654,0.81019395,0.110513617,-0.012961191,-0.275378088,0.332709545,3.089101,1.389902,2.219463,-10.24178,-24.89938,-1.75876,-15.58403,-14.01199,-42.58721,-1.37877,-11.62081,-1124.85208,-426.39471,-1566.68355,-323.26088,0.03528,0.11979,0.06332,0.02926,0.00108,0.00065,0.00322,-0.11293,0.863175,0.999962,6.661,16.906,0.108,0,89.439417,99.994649,2.73,11.46,0.0433,0.103,0.0517,0.0239,-2.00E-04,-0.0071,-0.0014,-0.1033,0.03494,-2.00E-04,0.23433,-0.01624,7.5471,-0.3873,3.5799,7.9344,0.126,0.8076,2.2749
p0000122145,-1520.346905,-1520.178863,-1520.111398,141.991,181.85,-0.05298,-0.31302,0.26004,-0.01465,-0.31692,3.9411,-1520.202072,0.0047,14869.5013,2060.53995,1.5077,-33.75237,26.4824,1002.65891,591.93613,410.72278,0.00334489,0.0196736,-0.02018815,0.00029859,0.00012371,0.00017487,0.24266073,0.00007245,0.01941378,0.54108133,117.06,163.71,1.90765776,0.0531411,0.78955068,0.193413744,-0.036705529,-0.250633661,0.208337542,2.841647,1.38353,2.101453,-9.71936,-31.80425,-2.64712,-31.94198,-15.09298,-254.57853,-1.73614,-16.60756,-489.85238,-283.8729,-1916.51513,-176.77626,0.07337,0.3852,0.21208,0.06019,0.0051,8.00E-04,0.00729,-0.34625,0.877126,0.99999,20.533,51.339,0.004,0.027,99.940966,99.996192,12.66,28.97,0.1696,0.2448,0.1426,0.1176,-0.0047,0.0032,-8.00E-04,-0.2044,0.24325,-0.00676,0.14772,0.00192,9.2661,0.6673,4.9667,8.5988,0.1163,1.4344,0.6034
p0000123308,-362.7345332,-362.643576,-362.60469,81.841,84.71,-0.00728,-0.24524,0.23796,-0.00195,-0.3086,4.5078,-362.5688759,0.0553,974.0492,979.25035,1.2488,-28.78529,47.79922,534.4397,259.90945,274.53025,0.00086303,0.02417825,-0.02121048,0.00040319,0.00027192,0.00013127,0.21957699,0.00008853,0.02268511,0.61644054,53.08,96.58,1.47978837,0.07907371,0.85669984,0.112938797,-0.040068813,-0.306658104,0.332363481,2.811795,1.390396,2.082506,-11.82532,-25.08352,-1.744,-14.78405,-17.60915,-41.08441,-1.38664,-11.40816,-272.78075,-110.89569,-415.41778,-83.83979,0.10854,0.16946,0.09701,0.10137,0.02264,0.00668,0.03495,-0.1449,0.876711,0.999941,21.421,19.154,1.294,0.487,88.327022,99.993805,11.83,12.31,0.1378,0.136,0.0969,0.0816,0.0164,0.0412,0.0434,-0.1189,0.1024,0.0122,0.33302,0.10083,7.6228,-0.6211,3.5008,8.2439,0.1213,0.7433,2.4479
p0000123331,-414.6627677,-414.606906,-414.569418,78.9,68.42,-0.0318,-0.30154,0.26974,-0.01652,-0.31741,3.8672,-414.5206494,0.0042,872.2595,851.50148,1.4751,-41.7653,60.61479,483.90568,262.35682,221.54886,0.00261824,0.0295965,-0.02932926,0.00086632,0.00053129,0.00033502,0.23716778,0.00020546,0.02933231,0.8020323,44.53,90.98,1.55458214,0.07895037,0.83022515,0.213400534,-0.119814524,-0.119814524,0.340007293,2.641962,1.370648,1.927699,-10.51113,-24.76619,-1.83637,-17.08963,-6.76352,-29.27432,-1.30358,-10.80604,-214.60415,-118.32904,-215.52423,-77.60032,0.12043,0.22969,0.15096,0.11356,0.0234,0.00687,0.04526,-0.15746,0.922705,0.999966,21.609,15.174,0.504,0.335,99.862903,99.996952,15.88,12.91,0.1394,0.1391,0.1232,0.0781,0.0362,0.0435,0.0449,-0.0914,0.1522,0.03957,0.12741,0.03988,9.2423,-0.1739,4.5342,9.4162,0.1062,1.0917,0.9159
p0000124174,-693.7861549,-693.535357,-693.468346,141.037,142.02,-0.00623,-0.3283,0.32207,-0.00028,-0.33333,5.6623,-693.578069,0.0008,26669.4754,1932.74508,1.1843,-38.2114,17.12691,1016.04235,728.76594,287.27641,0.00129111,0.01169522,-0.02510215,0.00036302,0.00003167,0.00033135,0.0796331,0.00002891,0.01495319,0.42139276,183.41,101.11,2.00298256,0.05107474,0.80153129,0.307875707,-0.045327141,-0.293165702,0.12226781,3.08301,1.503409,2.09239,-10.42327,-24.53646,-2.46823,-17.61738,-15.0092,-35.32569,-1.8203,-12.39531,-509.43635,-223.49852,-724.77213,-161.98991,0.04614,0.18598,0.09484,0.04348,0.00324,0.00143,0.01517,-0.18229,0.878177,0.999994,8.148,48.636,0.252,0.009,91.502229,99.999784,4.5,26.45,0.0609,0.2604,0.1321,0.0468,0.0026,0.0045,0.0047,-0.2566,0.06233,0.00268,0.04886,0.00084,9.6201,-0.5139,4.5531,10.1339,0.0987,1.0228,0.1876
p0000124185,-394.1582519,-393.897607,-393.84072,119.73,129.95,-0.00264,-0.34643,0.34379,0.00144,-0.37484,7.5123,-393.882179,0,4471.4407,1707.66228,0.9337,-4.22113,8.26196,891.84995,639.65403,252.19592,0.00306977,0.00558953,-0.0033212,0.00001452,0.00001088,0.00000365,0.1879805,0.00000273,0.00418177,0.13464463,249.74,0,1.17846701,0.05122733,0.8502226,-0.154844477,-0.154844477,-0.260963552,0.092579258,2.547845,1.525526,2.005928,-10.75848,-23.71607,-2.73706,-11.26087,-15.5006,-31.89956,-1.99054,-8.28492,-461.08522,-174.08417,-640.61295,-126.9446,0.04599,0.0788,0.04386,0.0336,0.00884,0.00901,0.02355,-0.06989,0.869994,0.999987,4.473,12.294,1.369,0.261,91.990086,100.0015,3.55,8.62,0,0.0547,0.0273,-0.0193,0,0.0193,0.0097,-0.0547,0,0,-0.0059,-0.0167,10.1186,0,5.0593,10.1186,0.0988,1.2648,-0.3055
p0000126114,-588.4780403,-588.361805,-588.313913,100.796,78.04,-0.03721,-0.35692,0.31971,-0.01967,-0.37069,4.2735,-588.3209928,0,1942.8064,1129.13269,1.4997,-31.9633,58.96488,585.59733,325.76914,259.82819,0.00578505,0.02932445,-0.02372834,0.00052528,0.00036146,0.00016382,0.21460846,0.00011273,0.02643627,0.73039348,45.25,118.73,1.89487217,0.05000205,0.80101014,0.005438868,-0.042281254,-0.065047313,0.334165356,2.557995,1.527654,2.036446,-8.18141,-21.27816,-2.08309,-20.09596,11.64439,-33.1877,-1.35469,-11.80139,-270.44098,-171.95483,-319.01961,-106.77666,0.14018,0.20992,0.11161,0.10757,0.00943,0.00654,0.01982,-0.20049,0.935725,0.999996,34.454,46.773,0.147,0.19,99.750333,100.001295,25.04,25.26,0.2382,0.2891,0.1541,0.1883,0.0103,-0.0017,0.0159,-0.27,0.32697,0.01419,0.00098,-0.17089,10.6343,0.1135,5.3739,10.5209,0.095,1.3724,-0.5912
p0000126523,-555.767226,-555.592137,-555.54271,104.029,116.93,-0.00983,-0.32849,0.31866,-0.00146,-0.34526,5.8854,-555.5509431,0,8007.8787,1496.29739,1.2522,-45.76685,46.26078,740.15662,498.08793,242.06868,0.00336139,0.01786936,-0.02649067,0.00058834,0.00014324,0.00044511,0.18418581,0.00010836,0.0196411,0.56297542,100.9,106.37,2.73496773,0.0568577,0.81987538,0.778620214,-0.156604197,-0.627160374,0.319869655,3.091081,1.207227,2.327906,-9.83657,-28.76463,-1.76172,-17.46681,-15.00584,-50.39499,-1.32661,-11.55552,-408.83471,-177.6513,-613.34447,-127.03125,0.09607,0.28237,0.14819,0.08677,0.00653,0.00525,0.0155,-0.26837,0.861989,0.999968,12.556,42.374,0.402,0.011,88.699037,99.99668,6.54,22.68,0.1544,0.2588,0.1367,0.1216,9.00E-04,0.0027,0.0059,-0.2442,0.16406,0.00092,0.04726,5.00E-04,9.8202,-0.4688,4.6757,10.289,0.0972,1.0624,0.1826
p0000126727,-16439.21922,-16439.03476,-16438.94328,192.534,271.58,-0.02315,-0.33621,0.31306,-0.02179,-0.3439,5.8336,-16439.00484,0.0006,44095.4637,3180.61419,2.4578,-31.90252,35.76694,1394.23481,789.64743,604.58739,0.00643138,0.02110635,-0.01273549,0.00033775,0.00022772,0.00011003,0.21964188,0.00007418,0.01744553,0.47555864,222.54,167.89,2.15772792,0.05170856,0.77081846,-0.029027004,-0.029027004,-0.167399451,0.138788465,2.545607,1.51394,1.852661,-8.75728,-34.24575,-2.505,-34.06152,44.12431,-121.45784,-1.67882,-20.8431,-641.00874,-405.81907,-1247.94547,-263.86419,0.10637,0.1962,0.12601,0.03663,0.0035,0.00086,0.00386,-0.14038,0.964265,0.999991,39.639,62.185,0.025,0.001,99.874976,99.999043,22.73,43.29,0.3144,0.255,0.1748,0.2792,-0.0057,-0.0011,-0.0016,-0.2173,0.38032,-0.0069,3.00E-05,-0.00701,9.9762,-0.1011,4.9375,10.0773,0.0992,1.2096,-0.0275
